充満 (juuman)	 being filled with; being full of; permeation​
柔軟 (juunan)	 flexible; lithe; soft; pliable​
充実 (juujitsu)	 fullness; completion; perfection; enhancement; improvement; enrichment; upgrading​
充実感 (juujitsukan)	 sense of fulfillment; sense of completeness; sense of accomplishment; sense of contentment​
住宅地 (juutakuchi)	 housing district; residential district​
重役 (juuyaku)	 (company) director; executive; top management​; important post; role with heavy responsibilities​
課 (ka)	 lesson; section (in an organization); division; department​; counter for lessons and chapters (of a book)​
価値観 (kachikan)	 sense of values; values; value system​
課題 (kadai)	 subject; theme; issue; matter​; homework; assignment​; task; challenge; problem; question​
過度 (kado)	 excessive; immoderate​
花粉 (kafun)	 pollen
花粉症 (kafunshou)	 hay fever; pollinosis (allergy to pollen)​
輝かしい (kagayakashii)	 brilliant; glorious; glittering; bright; splendid (e.g. achievement, success); promising (e.g. future)​
輝き (kagayaki)	 brightness; brilliance; brilliancy; radiance; glitter​
過激 (kageki)	 extreme; radical​
限り (kagiri)	 limit; limits; bounds​; degree; extent; scope​
限りない (kagirinai)	 eternal; unlimited; endless​
嗅ぐ (kagu)	 to sniff; to smell​
下位 (kai)	 low rank; lower position; subordinate position; lower order (e.g. byte)​
開封 (kaifuu)	 opening (an envelope or parcel); breaking the seal; unsealed letter​
介護 (kaigo)	 nursing; care; caregiving; caring​
介護施設 (kaigoshisetsu)	 nursing home; rest home
開発 (kaihatsu)	 development; exploitation​
解放 (kaihou)	 release; unleashing; liberation; emancipation; setting free​
開放感 (kaihoukan)	 sense of space; spaciousness​
会員証 (kaiinshou)	 membership card; membership certificate​
開会 (kaikai)	 opening of a meeting​
会見 (kaiken)	 interview; audience; meeting; (viewing) party
解決策 (kaiketsusaku)	 solution; solution strategy​
開幕 (kaimaku)	 raising the curtain​; opening (of an event); start of a season
皆無 (kaimu)	 nonexistent; nil; none; nothing (at all); bugger-all​
飼い主 (kainushi)	 shepherd; (pet) owner​
回覧 (kairan)	 circulation (esp. documents); sending round​
改良 (kairyou)	 improvement; reform​
開催 (kaisai)	 holding (a conference, exhibition, etc.); opening; hosting (e.g. the Olympics)​
解散 (kaisan)	 breaking up (e.g. meeting); dispersing (e.g. crowd)​; dissolving (company, organization, etc.); liquidating; disbanding​
改正 (kaisei)	 revision; amendment; alteration​
開設 (kaisetsu)	 establishment; opening; setting up; inauguration​
解説 (kaisetsu)	 explanation; commentary; exposition; elucidation​
買い占める (kaishimeru)	 to buy up​
解消 (kaishou)	 cancellation; liquidation; resolution; reduction (e.g. of stress)​
海水浴 (kaisuiyoku)	 swimming in the ocean; sea bathing; seawater bath; going for a dip in the ocean​
回数 (kaisuu)	 number of times; frequency; count
改訂 (kaitei)	 revision (of text); alteration; change
回転 (kaiten)	 rotation (usu. around something); revolution; turning​
開店 (kaiten)	 opening a new shop​; opening a shop (for the day)​
回答 (kaitou)	 reply; answer​
解約 (kaiyaku)	 cancellation of contract​
果実 (kajitsu)	 fruit; nut; berry​; profit
過剰 (kajou)	 excess; surplus; superabundance; overabundance​
係 (kakari)	 charge; duty; person in charge; official; clerk
欠かせない (kakasenai)	 indispensable; vital; fundamental; imperative; crucial
欠かす (kakasu)	 to miss (doing); to fail (to do)​
関わり合う (kakawariau)	 to get involved or entangled in; to get mixed up in; to have something to do with; to have dealings with​
下記 (kaki)	 the following
夏期 (kaki)	 summer term (e.g. school); summer period​
格好つける (kakkou tsukeru)	 to affect a stylish air; to try to look good; to show off​
隔 (kaku)	 every other; second; alternate​
格別 (kakubetsu)	 particular; special; exceptional; especial​
角度 (kakudo)	 angle
確保 (kakuho)	 securing; obtaining; ensuring; guarantee; maintaining​
各位 (kakui)	 everyone; each and every one (of you); ladies and gentlemen​
各自 (kakuji)	 each (person); everyone; individual; respective​
確率 (kakuritsu)	 probability; likelihood; chances​
獲得 (kakutoku)	 acquisition; possession​
格安 (kakuyasu)	 cheap; reasonable
歓迎会 (kangeikai)	 welcome party
活発 (kappatsu)	 lively; active; vigorous; animated; brisk​
係 (kakari)	 charge; duty; person in charge; official; clerk​
係員 (kakariin)	 person in charge; official; attendant​
駆け抜ける (kakenukeru)	 to run past from behind; to run through (e.g. gate, one’s mind)​
拡充 (kakujuu)	 expansion
確信 (kakushin)	 conviction; belief; confidence​
確定 (kakutei)	 decision; settlement​
感 (kan)	 (prefix) feeling; sensation; emotion; admiration; impression​
叶う (kanau)	 to come true (of a wish, prayer, etc.); to be realized; to be fulfilled; to suit (e.g. a purpose); to meet (wishes, ideals, etc.); to conform to (standards, rules, etc.); to be consistent with​
完備 (kanbi)	 (being) fully equipped; (being) fully furnished
勘違い (kanchigai)	 misunderstanding; mistaken idea; wrong guess​
加熱 (kanetsu)	 heating; application of heat​
看護 (kango)	 nursing; (army) nurse​
看護師 (kangoshi)	 (hospital) nurse; registered nurse​
感じ取る (kanjitoru)	 to perceive; to sense; to take in; to grasp; to feel​
簡潔 (kanketsu)	 brevity; conciseness; simplicity​
観光地 (kankouchi)	 tourist attraction; sight-seeing area​
観念 (kannen)	 idea; notion; concept; conception​; sense (e.g. of duty)​
完璧 (kanpeki)	 perfect; complete; flawless​
簡略 (kanryaku)	 simple; simplicity; brief; brevity​
簡略化 (kanryakuka)	 simplification
観戦 (kansen)	 watching a (sports) game; spectating; observing (military operations)​
観測 (kansoku)	 observation; survey; measurement​
鑑賞 (kanshou)	 appreciation (of art, music, poetry, etc.)​
観点 (kanten)	 point of view​
勧誘 (kan’yuu)	 invitation; solicitation; canvassing; canvasing; inducement; persuasion; encouragement​
絡む (karamu)	 to entangle; to entwine​; to pick a quarrel; to find fault​
仮に (kari ni)	 supposing; even if; granting that; for argument’s sake; temporarily; provisionally; for the time being​
軽々 (karugaru)	 lightly; easily; carelessly​
重なる (kasanaru)	 to be piled up; to lie on top of one another​; to come one after another; to happen over and over; to pile up (e.g. stress); to accumulate
歌詞 (kashi)	 song lyrics; words of a song; libretto​
貸し出し (kashidashi)	 lending; loaning
箇所 (kasho)	 passage; place; point; part
加速 (kasoku)	 acceleration; speeding up​
かすか	 faint; dim; weak; slight; vague; indistinct; hazy​; poor; wretched; meagre; meager; scanty
課する (kasuru)	 to levy; to charge; to assess; to impose; to assign​
肩幅 (katahaba)	 shoulder width (breadth)​
傾く (katamuku)	 to incline toward; to slant; to lurch; to heel over; to be disposed to; to trend toward; to be prone to​
語りかける (katarikakeru)	 to make a speech; to address​
偏る (katayoru)	 to lean (to one side); to incline​; to be unbalanced (e.g. diet); to be unduly weighted towards; to be concentrated on​; to be partial; to be biased; to be prejudiced​
片付け (katazuke)	 tidying up; finishing
片付く (katazuku)	 to be put in order; to be put to rights​; to be disposed of; to be solved​
過程 (katei)	 process; course; mechanism​
下等 (katou)	 inferior; base; vulgar; low grade; lower class​
活字 (katsuji)	 printing type; movable type​; printed text; print​
活力 (katsuryoku)	 vitality; energy; dynamism​
活躍 (katsuyaku)	 activity (esp. energetic); great efforts; conspicuous service​; to flourish; to participate actively; to play an active role​
可愛がる (kawaigaru)	 to love; to cherish; to be affectionate to; to treat tenderly; to dote on​; to show favouritism to; to be partial to​
変わった (kawatta)	 another; different; various; particular; unusual; novel; peculiar
かゆい	 itchy
飾り付け (kazaritsuke)	 decoration; arrangement​
数々 (kazukazu)	 many; numerous; various; large number of​
数多く (kazuooku)	 in great numbers​
決着 (kecchaku)	 conclusion; decision; end; settlement​
気配 (kehai)	 indication; sign; hint; presence; trend​
警備 (keibi)	 defense; defence; guard; policing; security​
警備員 (keibihin)	 guard; security (officer); guardsman​
経営者 (keieisha)	 manager; proprietor​
軽減 (keigen)	 abatement; reduction​
経費 (keihi)	 expenses; cost; outlay​
契機 (keiki)	 opportunity; chance​; trigger; cause​
蛍光灯 (keikoutou)	 fluorescent lamp; fluorescent light​
経理 (keiri)	 accounting; administration (of money)​
掲載 (keisai)	 publication (e.g. of an article in a newspaper); carrying (e.g. a story); running (e.g. a serial); insertion (e.g. of an advertisement); printing; posting (e.g. on the web)​
軽視 (keishi)	 making light of; thinking little of; slighting; belittling; dismissing; contempt; disdain​
形式 (keishiki)	 form (as opposed to substance); formality​
計測 (keisoku)	 measuring; measurement​
携帯 (keitai)	 something carried (in the hand); handheld; portable​; mobile telephone; cell phone​ (abbreviation)
毛糸 (keito)	 knitting wool; woollen yarn​
系統 (keitou)	 system; lineage; ancestry; family line​; group (e.g. of colors) (colours); family (e.g. of languages); party; school (of thought)​
継続 (keizoku)	 continuation
謙虚 (kenkyo)	 modest; humble​
検索 (kensaku)	 looking up (e.g. a word in a dictionary); retrieval (e.g. data); searching for; referring to​
検診 (kenshin)	 physical examination; medical examination; health checkup; health screening​
研修 (kenshuu)	 training (esp. in-service); induction course​
研修会 (kenshuukai)	 workshop; training course​
謙遜 (kenson)	 modesty; humility; being humble​
決勝 (kesshou)	 decision of a contest; finals (in sports)​
決勝戦 (kesshousen)	 championship game; finals (of a tournament); deciding round​
桁 (keta)	 column; beam; girder; crossbeam; spar; yard​; digit; decade; order of magnitude​
決断 (ketsudan)	 decision; determination​
険しい (kewashii)	 precipitous; rugged; inaccessible; impregnable; steep​; grim; severe; stern​
削る (kezuru)	 to shave (wood, leather, etc.); to sharpen (e.g. pencil); to plane; to whittle; to pare; to scrape off; to erode​; to cut down (budget, expenses, staff, time, etc.); to curtail; to reduce​
気が重い (ki ga omoi)	 depressed; bummed out; down; heavy-hearted; heavy-spirited; feeling reluctant (to do)​
気が進まない (ki ga susumanai)	 reluctant to; not inclined to; disinclined; unwilling​
気を落とす (ki o otosu)	 to be discouraged; to be disheartened​
気を使う (ki o tsukau)	 to pay attention to another’s needs; to attend to; to fuss about; to take into consideration​
気を失う (ki o ushinau)	 to lose consciousness; to faint; to black out​
機敏 (kibin)	 clever; shrewd; canny; smart; quick; prompt​
規模 (kibo)	 scale; scope; plan; structure​
気分転換 (kibuntenkan)	 change of pace; change of mood; (mental) break (e.g. going for a walk); refreshment
きっちり	 exactly; precisely; punctually; on the dot; closely; tightly; (fitting) perfectly​; properly; without fail​
気軽 (kigaru)	 carefree; buoyant; lighthearted; sprightly​
器具 (kigu)	 utensil; apparatus; implement; device; gadget​
期日 (kijitsu)	 fixed date; settlement date​
企画 (kikaku)	 planning; project; plan; design​
機器 (kiki)	 device; equipment; machinery; apparatus​
聞き手 (kikite)	 hearer; listener; audience; interviewer; questioner​
聞き取る (kikitoru)	 to catch (a person’s words); to make out; to follow; to understand​
気配り (kikubari)	 care; attentiveness; attention; consideration (for others); solicitude​
決め付ける (kimetsukeru)	 to fix upon (one-sidedly); to (ignore somebody’s position and) arbitrarily decide something is the case​
緊張感 (kinchoukan)	 feeling of tension; air of tension; tension; nervousness
金魚 (kingyo)	 goldfish
勤務 (kinmu)	 service; duty; work​
近年 (kinnen)	 recent years​
近隣 (kinrin)	 neighborhood; vicinity​
絹 (kinu)	 silk
金融 (kinyuu)	 finance; financing; credit transacting; loaning of money; circulation of money​
きっぱり	 clearly; plainly; distinctly
気楽 (kiraku)	 carefree; comfortable; at ease​; easygoing; happy-go-lucky​
切り上げる (kiriageru)	 to close (at a certain point); to cut short; to stop early; to finish (at a convenient spot)​; to round up (number)​
切り取る (kiritoru)	 to cut off; to excise; to tear off; to cut out; to whittle down; to tear out; to cut down; to amputate​
帰省 (kisei)	 homecoming; returning home​
貴社 (kisha)	 your company​ (honorific)
気象 (kishou)	 weather; climate
機種 (kishu)	 type of equipment; model​
競う (kisou)	 to compete; to contend; to vie; to contest​
鍛える (kitaeru)	 to forge; to temper​; to drill; to train; to discipline​
規定 (kitei)	 stipulation; prescription; provision; regulation; rule​
刻み込む (kizamikomu)	 to etch (name, etc.); to carve (design)​
刻む (kizamu)	 to mince; to cut fine; to chop up; to hash; to shred​; to carve; to engrave; to chisel; to notch
傷物 (kizumono)	 defective article; damaged goods​
個別 (kobetsu)	 particular case; discrete; individual; separate
こだわり	 obsession; fixation; hangup; determination; fastidiousness; pickiness about (trait, style, etc.)​; complaining; criticizing​​
拘る (kodawaru)	 to fuss over; to be particular about​
孤独 (kodoku)	 solitude; loneliness; isolation​
古風 (kofuu)	 old-fashioned; archaic; antique; antiquated​
小金 (kogane)	 small sum of money​
小柄 (kogara)	 small build; small stature; petite​
焦げる (kogeru)	 to burn; to scorch; to char; to singe​
個人差 (kojinsa)	 individual differences; personal equation​
個々 (koko)	 individual; one by one; separate​
心地良い (kokochiyoi)	 comfortable; pleasant​
試み (kokoromi)	 attempt; trial; experiment​; endeavour (endeavor); effort; venture; initiative​
心強い (kokorozuyoi)	 heartening; reassuring​
快い (kokoroyoi)	 pleasant; agreeable; comfortable; refreshing​
細やか (komayaka)	 tender; warm; caring; thoughtful​; meticulous; detailed; attentive​
小物 (komono)	 accessories; small articles​
根元/根本 (kongen)	 root; source; origin; foundation; base; principle​
根性 (konjou)	 willpower; guts; determination; grit; spirit​; character; nature; disposition; personality​
根気 (konki)	 patience; perseverance; persistence; tenacity; energy​
今年度 (konnendo)	 this year; this fiscal year; this school year​
好ましい (konomashii)	 nice; likeable; desirable​
この度 (konotabi)	 this occasion; at this time; now​
孤立 (koritsu)	 isolation; being alone; being friendless
個性 (kosei)	 individuality; personality; idiosyncrasy; character; individual characteristic
子育て (kosodate)	 child rearing; child raising; raising children; parenting
応える (kotaeru)	 to respond; to answer; to meet (e.g. demands, expectations)​
個体 (kotai)	 individual; specimen​
固定 (kotei)	 fixing (in place); securing; anchoring; fastening down​; fixing (e.g. salary, capital); keeping the same
古典 (koten)	 classic (work, esp. book); the classics​
言葉遣い (kotobazukai)	 speech; expression; wording; language
事柄 (kotogara)	 matter; thing; affair; circumstance​
こつこつ	 unflaggingly; steadily; untiringly; laboriously​; knocking; tapping; clicking; drumming​
高 (kou)	 (prefix) high
好調 (kouchou)	 favorable; promising; satisfactory; in good shape​
高度 (koudo)	 altitude; height; elevation​; high-degree; high-grade; advanced; sophisticated; strong​
行動力 (koudouryoku)	 ability to take action; energy; fire; dynamism; leverage
公演 (kouen)	 public performance​
校外 (kougai)	 out-of-school; off-campus
公害 (kougai)	 pollution; public nuisance; contamination​
後半 (kouhan)	 second half; latter half​
高品質 (kouhinshitsu)	 high quality
好印象 (kouinshou)	 good impression; favorable impression​
向上 (koujou)	 elevation; rise; improvement; advancement; progress​
恒常 (koujou)	 constancy; permanence
公開 (koukai)	 opening to the public; making available to the public; putting on display; exhibiting; showing (play, movie, etc.); holding (interview, etc.); open; public​
好感 (koukan)	 good feeling; good will; favourable impression; favorable impression​
後期 (kouki)	 latter period; second half; late stage; third trimester; second semester
高級 (koukyuu)	 high class; high grade​; high rank; seniority​
交流会 (koukyuukai)	 gathering; mixer; meetup; assembly; social; exchange meeting​
項目 (koumoku)	 item; heading; category; clause​; headword (in a dictionary, encyclopedia, etc.); entry
高熱 (kounetsu)	 high fever​
光熱費 (kounetsuhi)	 cost of fuel and lighting; cost of heat and electricity; energy bill; utility cost​
好悪 (kouo)	 likes and dislikes​
高齢 (kourei)	 advanced age; old age​
高齢化 (koureika)	 population ageing (aging)​
高齢者 (koureisha)	 old person; old people​
小売 (kouri)	 retail
効率 (kouritsu)	 efficiency
公立 (kouritsu)	 public (institution)​
効力 (kouryoku)	 effect; efficacy; validity; potency​
工作 (kousaku)	 handicraft; work; construction; manufacturing​; maneuvering; manoeuvering​
考察 (kousatsu)	 consideration; inquiry; enquiry; investigation; study​
公正 (kousei)	 justice; fairness; impartiality​
光線 (kousen)	 beam; light ray
講師 (koushi)	 lecturer
更新 (koushin)	 renewal; update; innovation; improvement​
公衆 (koushuu)	 the public; general public​
高層 (kousou)	 multistory; multistoried; high-rise; high; tall​
香水 (kousui)	 perfume
交代 (koutai)	 alternation; change; relief; relay; shift; substitution (sports, etc.); taking turns​
肯定 (koutei)	 affirmation
紅葉 (kouyou)	 autumn colours; fall colors; leaves changing color
効用 (kouyou)	 use; utility; effect; benefit​
口座 (kouza)	 account (e.g. bank)​
講座 (kouza)	 course (e.g. of lectures)​; academic teaching unit; lectureship; professorial chair​
構造 (kouzou)	 structure; construction; makeup; framework; organization; pattern​
小遣い (kozukai)	 pocket money; spending money; pin money; allowance
怖がる (kowagaru)	 to be afraid of; to fear; to dread; to be nervous (about); to be shy (of)​
苦 (ku)	 pain; anguish; suffering; distress; anxiety; worry; trouble; difficulty; hardship
砕く (kudaku)	 to break, to smash
くどい	 verbose; importunate; wordy; repetitious; long-winded; heavy (taste); rich; strong; cloying; gaudy; loud
区切り (kugiri)	 punctuation; pause; juncture​; end; (place to) stop​
苦情 (kujou)	 complaint; troubles; objection; grievance​
組み替える (kumikaeru)	 to rearrange (classes); to recompose; to reset; to recombine (genes)​
組み込む (kumikomu)	 to insert; to include; to incorporate; to cut in (printing)​
暗闇 (kurayami)	 darkness; the dark​
繰り返し (kurikaeshi)	 repetition; repeat; reiteration; iteration; refrain; cycle​; repeatedly
車椅子 (kurumaisu)	 wheelchair; folding push-chair
苦戦 (kusen)	 hard fight; close game; struggle; tight contest​
国々 (kuniguni)	 countries
くしゃみ	 sneeze
くたくた	 exhausted; tired; withered; worn out​
空洞 (kuudou)	 cave; hollow; cavity​
空間 (kuukan)	 space; room; airspace​
空席 (kuuseki)	 empty seat; unoccupied seat​; vacancy; vacant post​
空想 (kuusou)	 daydream; fantasy; fancy; vision
悔やむ (kuyamu)	 to mourn; to lament​; to be sorry; to regret; to repent​
崩す (kuzusu)	 to destroy; to demolish; to pull down; to tear down; to level​; to break (a bill); to change; to make change​
客観的 (kyakkanteki)	 objective
客席 (kyakuseki)	 guest seating (e.g. theater, stadium); passenger seat (e.g. taxi)​; audience
拒否 (kyohi)	 refusal; rejection; denial; veto​
曲線 (kyokusen)	 curve
極端 (kyokutan)	 extreme; extremity​
強風 (kyoufuu)	 strong wind; high wind; moderate gale​
教員 (kyouin)	 teacher; instructor; teaching staff; faculty member​
強弱 (kyoujaku)	 strength and weakness; (degree of) strength​; stress (of a sound); loudness​
強化 (kyouka)	 strengthening; intensifying; reinforcement; enhancement; solidification​
協会 (kyoukai)	 association; society; organization; organisation​
教師 (kyoushi)	 teacher (classroom)​
恐縮 (kyoushuku)	 feeling obliged; being grateful; being thankful; being sorry; being ashamed​
教養 (kyouyou)	 cultivation; refinement; culture; education​
共有 (kyouyuu)	 joint ownership; co-ownership; sharing (e.g. a viewpoint)​
旧  (kyuu)	 ex-; former; old​
休暇明け (kyuukaake)	 post-vacation
急病 (kyuubyou)	 sudden illness​
休業 (kyuugyou)	 closed (e.g. store); business suspended; shutdown; holiday​
求人 (kyuujin)	 recruiting; job offer; job vacancy​
休養 (kyuuyou)	 rest; break; recreation; recuperation; convalescence​
急増 (kyuuzou)	 rapid increase; proliferation; surge; explosion​
町並み (machinami)	 townscape; street (of stores and houses); (look of) stores and houses on street​
まぶた	 eyelid; eyelids​
間近 (madjika)	 proximity; nearness; soon; nearby​
窓際 (madogiwa)	 (at the) window​
窓口 (madoguchi)	 ticket window; teller window; counter​; contact person; point of contact​
魔法 (mahou)	 magic; witchcraft; sorcery​
前向き (maemuki)	 front-facing; forward-looking; positive; constructive
間際 (magiwa)	 the point just before; the point of doing; the verge of happening​
巻き込む (makikomu)	 to roll up; to enfold; to swallow up​; to involve; to drag into​
まく	 to scatter; to sprinkle; to strew​
真似る (maneru)	 to mimic; to imitate​
満員 (man’in)	 full house; no vacancy; sold out; standing room only; full (of people); crowded​
満足度 (manzokudo)	 (degree of) satisfaction​
稀 (mare)	 rare, seldom
真っ先 (massaki)	 the head; the foremost; beginning; the very front​
真っ白 (masshiro)	 pure white​
まとめる	 to collect; to put (it all) together; to integrate; to consolidate; to unify​; to summarize; to aggregate​; to bring to a conclusion; to finalize; to settle; to put in order
目 (me)	 (suffix) ordinal number suffix​
目に触れる (me ni fureru)
目新しい (meatarashii)	 original; novel; new​
目当て (meate)	 mark; guide; landmark​; purpose; aim; goal; intention; end
目立つ (medatsu)	 to be conspicuous; to stand out​
恵み (megumi)	 blessing; grace​
恵む (megumu)	 to bless; to show mercy to​; to give (money, etc.)​
名簿 (meibo)	 register of names; list of names; roll; register; roster
名物 (meibutsu)	 famous product; special product; speciality; specialty
名産 (meisan)	 noted product; local specialty
名刺 (meishi)	 business card​
明示 (meiji)	 elucidation; explicit statement; specification​
明確 (meikaku)	 clear; precise; definite; distinct​
名門 (meimon)	 noted family; noble family​; prestigious school, organization, business, etc.
明瞭 (meiryou)	 clear; plain; distinct; obvious; evident; articulate
名所 (meisho)	 famous place
目印 (mejirushi)	 mark; sign; landmark; benchmark​
面会 (menkai)	 meeting (face-to-face); interview​
面する (mensuru)	 to face on; to look out on to​
目線 (mesen)	 one’s gaze​; point of view; standpoint​
目覚める (mezameru)	 to wake up; to awake​; to awaken to (instinct, ability, perception, etc.); to become aware of; to become conscious of; to realize​; to come to one’s senses​
未 (mi)	 (prefix) not yet; un-​
見合う (miau)	 to exchange glances​; to correspond; to counterbalance​
身振り手振り (miburiteburi)	 gestures; gesturing​
密着 (micchaku)	 close adhesion; sticking firmly to; being glued to​
道案内 (michiannai)	 guidance; showing the way; guide​; guidepost; signpost; waymark​
導く (michibiku)	 to guide; to lead; to show the way; to conduct​
道のり (michinori)	 distance; journey; itinerary​; path (e.g. to one’s goal); way; process; route; road​
Advertisement
乱れる (midareru)	 to be disordered; to be disarranged; to be disarrayed; to be disheveled; to be dishevelled​
見出し (midashi)	 heading; headline; title; caption​
見張る (miharu)	 to stand watch; to stand guard; to look out​
見直す (minaosu)	 to look at again​; to re-examine; to get a better opinion of; to see in a more positive light​
見慣れる (minareru)	 to become used to seeing; to be familiar with​
民家 (minka)	 private house​
見逃す (minogasu)	 to miss; to overlook; to fail to notice​; to let pass (a matter); to overlook (e.g. a wrongdoing); to turn a blind eye to​
身の回り (mi no mawari)	 one’s personal belongings; one’s vicinity; one’s daily life; everyday necessities​
民族 (minzoku)	 people; race; nation; ethnic group; ethnos​
密閉 (mippei)	 shutting tightly; sealing something airtight​
密接 (missetsu)	 close (relationship, connection, etc.); intimate; near​; close (together)​
満たす (mitasu)	 to satisfy (conditions, one’s appetite, etc.); to meet (e.g. demands); to fulfill; to gratify​
見通し (mitooshi)	 unobstructed view; perspective; visibility; vista​; forecast; outlook; prospect; prediction​; insight; foresight​
見積書 (mitsumorisho)	 written estimate; quotation; quote​
見積もる (mitsumoru)	 to estimate​
見分ける (miwakeru)	 to distinguish; to recognize; to recognise; to tell apart; to differentiate (both figuratively and visually)​
見渡す (miwatasu)	 to look out over; to survey (scene); to take an extensive view of​
溝 (mizo)	 ditch; drain; gutter; trench​; groove; tread​; gap (between people, countries, etc.); gulf​
持ち出す (mochidasu)	 to take out; to carry out; to bring out from where it belongs​; to mention something; to broach a topic; to bring up (a subject)
持ち込む (mochikomu)	 to take something into …; to bring in; to carry in​
持ち主 (mochinushi)	 owner; proprietor; possessor (e.g. of talent, beauty, etc.)​
潜る (moguru)	 to dive (into or under water)​; to get under; to get into; to get in; to creep into; to crawl under; to bury oneself; to burrow into; to dig oneself into; to snuggle under​
模範 (mohan)	 exemplar; model; example; pattern​
模型 (mokei)	 model; dummy; maquette​
木製 (mokusei)	 wooden; made of wood​
目的地 (mokutekichi)	 place of destination​
木材 (mokuzai)	 lumber; timber; wood​
問題点 (mondaiten)	 the problem (at issue); the point at issue; problematic issue; problem
物真似 (monomane)	 mimicry; imitation (of someone, something)​
物足りない (monotarinai)	 unsatisfied; unsatisfactory; insufficient​
盛り上がる (moriagaru)	 to swell; to rise; to bulge; to be piled up​; to rouse; to get excited​
もったいない	 wasteful; a waste​; impious; profane; sacrilegious​; too good; more than one deserves; unworthy of​
猛 (mou)	 (prefix)	 extreme; severe​
催し (moyooshi)	 event; festivities; function; social gathering; auspices; opening; holding (a meeting)​
最寄り (moyori)	 nearest; neighboring; nearby​
無 (mu/bu)	 (prefix) un-; non-​
無縁 (muen)	 unrelated; irrelevant; indifferent​; without relations (esp. of a deceased person); having no surviving relatives​cho
無限 (mugen)	 infinity; infinitude; eternity​; infinite; limitless​
無意識 (muishiki)	 unconsciousness; unconscious; involuntary; automatic; mechanical; unintentional; spontaneous​
無条件 (mujouken)	 unconditional
矛盾 (mujun)	 contradiction; inconsistency​
無関係 (mukankei)	 unrelated
無関心 (mukanshin)	 apathetic; indifferent​
昔話 (mukashibanashi)	 old tale; folk tale; legend​; reminiscence
むかつく	 to feel irritated; to feel offended; to feel angry​; to feel sick; to feel nauseous
向き合う (mukiau)	 to be opposite; to face each other​; to confront (an issue); to face​
無口 (mukuchi)	 taciturn; reticent; quiet; silent; untalkative​
無給 (mukyuu)	 unpaid; nonsalaried​
無線 (musen)	 radio (communication)​; wireless; not using wires
蒸し暑い (mushiatsui)	 humid; sultry​
結びつく (musubitsuku)	 to be related; to be connected; to be joined together​; to result in; to lead to; to bring about​
無数 (musuu)	 innumerable; countless; numberless​
傾らか (nadaraka)	 gently sloping; gentle; easy​; smooth
長続き (nagatsuzuki)	 lasting long; continuation; keeping at (something); sticking to (something)​
嘆く (nageku)	 to lament; to grieve; to regret​; to deplore​
和やか (nagoyaka)	 mild; calm; gentle; quiet; congenial; amicable; amiable; friendly; genial; harmonious; peaceful​
内 (nai)	 (suffix) inside; within
内部 (naibu)	 interior; inside; internal​
内包 (naihou)	 connotation; comprehension; intension​; inclusion; containment within​
内線 (naisen)	 phone extension; indoor wiring; inner line​
中庭 (nakaniwa)	 courtyard; quadrangle; middle court​
生中継 (namachuukei)	 live broadcast (radio, TV); live coverage​
滑らか (nameraka)	 smooth (of a surface); glassy; velvety; soft​
何度も (nandomo)	 many times over; often​
軟弱 (nanjaku)	 weakness
何らか (nanraka)	 some; any; in any way; of some kind; of some sort​
慣れ (nare)	 practice; practising; experience​
成り立つ (naritatsu)	 to consist of; to be made up of; to be composed of​; to be concluded
成し遂げる (nashitogeru)	 to accomplish; to finish; to fulfill​
悩み (nayami)	 trouble; troubles; worry; distress; sorrows; anguish; agony; problem​
名づける (nazukeru)	 to name; to call; to christen; to term​
値上がり (neagari)	 price advance; increase in value​
値引き (nebiki)	 price reduction; discount​
根っこ (nekko)	 root (of a plant)​; stump (of a tree)​; root (of a problem, etc.); base; foundation; origin; source​
寝転がる (nekorogaru)	 to lie down; to throw oneself down
年度 (nendo)	 fiscal year (usu. April 1 to March 31 in Japan); financial year​; academic year; school year​
年金 (nenkin)	 annuity; pension​
年内 (nennai)	 by the end of the year​
狙う (nerau)	 to aim at​; to be after (something); to have an eye on​
熱する (nessuru)	 to heat up; to heat
根強い (nezuyoi)	 firmly rooted; deep-seated​
鈍い (nibui)	 dull (e.g. a knife); blunt​; thickheaded; obtuse; stupid​
日用品 (nichiyouhin)	 daily necessities​
濁る (nigoru)	 to become muddy; to become cloudy; to get impure (of a liquid, gas, etc.)​
日課 (nikka)	 daily lesson; daily work; daily routine​
憎い (nikui)	 hateful; abominable; poor-looking; detestable​
憎しみ (nikushimi)	 hatred
認識 (ninshiki)	 recognition; awareness; perception; understanding; knowledge; cognition; cognizance; cognisance​
偽物 (nisemono)	 spurious article; forgery; counterfeit; imitation; sham
日数 (nissuu)	 a number of days​
荷造り (nizukuri)	 packing; baling; crating​
乗り越える (norikoeru)	 to climb over; to get over; to ride across​; to overcome; to surpass; to overtake​
乗り継ぐ (noritsugu)	 to connect (with a different flight, train, etc.); to make a connection; to change (planes, trains, etc.)​
農園 (nouen)	 plantation
納品 (nouhin)	 delivery of goods​
濃厚 (nouko)	 rich (in flavor, color, smell, etc.); thick; dense; strong
能率 (nouritsu)	 efficiency
農作物 (nousakubutsu)	 crops; agricultural produce​
農薬 (nouyaku)	 agricultural chemical (i.e. pesticide, herbicide, fungicide, etc.); agrochemical; agrichemical​
覗く (nozoku)	 to peek (through a keyhole, gap, etc.)​; to sneak a look at; to take a quick look at​r
入会 (nyuukai)	 admission; joining; enrollment; enrolment​
