
油 (abura)	 oil
際 (kiwa)	 edge, brink, verge

嫌う (kirau)	 to hate, to dislike

傷 (kizu)	 wound, injury, cut

器用 (kiyou)	 dexterous, skillful

気付く (kizuku)	 to notice, to realize

こぼす	 to spill, to drop, to shed

越える (koeru)	 to cross over

恋 (koi)	 love

濃い (koi)	 thick, dense, strong

恋人 (koibito)	 lover, sweetheart

恋しい (koishii)	 yearned for, missed

個人 (kojin)	 individual, personal

国家 (kokka)	 state, country, nation

国会 (kokkai)	 National Diet, parliament

国境 (kokkyou)	 national border

黒板 (kokuban)	 blackboard

国語 (kokugo)	 national language

克服 (kokufuku)	 conquest, overcoming

国民 (kokumin)	 national, citizen

穀物 (kokumotsu)	 grain, cereal

故郷 (kokyou)	 home town, birthplace

呼吸 (kokyuu)	 breathing, respiration

小麦 (komugi)	 wheat

今後 (kongo)	 from now on

今回 (konkai)	 now, this time

粉 (kona)	 flour, powder

困難 (konnan)	 difficulty, distress

今日 (konnichi)	 this day, these days, recently

好み (konomi)	 liking, taste

好む (konomu)	 to like, to prefer

混乱 (konran)	 disorder, chaos

婚約 (kon’yaku)	 engagement, betrothal

混雑 (konzatsu)	 congestion, jam

氷 (koori)	 ice

凍る (kooru)	 to freeze

転ぶ (korobu)	 to fall down

殺す (korosu)	 to kill

腰 (koshi)	 lower back, waist

骨折 (kossetsu)	 bone fracture

異なる (kotonaru)	 to differ, to vary

断る (kotowaru)	 to refuse, to reject

諺 (kotowaza)	 proverb, maxim

好物 (koubutsu)	 favourite food​

行動 (koudou)	 action, conduct, behavior

講演 (kouen)	 lecture, address, speech

幸福 (koufuku)	 happiness

攻撃 (kougeki)	 attack, strike

公平 (kouhei)	 fairness, justice

候補 (kouho)	 candidate

後方 (kouhou)	 behind, in the rear

工事 (kouji)	 construction work​

効果 (kouka)	 effect, effectiveness

硬貨 (kouka)	 coin

高価 (kouka)	 high price

交換 (koukan)	 exchange, interchange

光景 (koukei)	 scene, spectacle

貢献 (kouken)	 contribution

広告 (koukoku)	 advertisement

航空 (koukuu)	 aviation, flying

公共 (koukyou)	 public, community

購入 (kounyuu)	 purchase, buy

考慮 (kouryo)	 consideration

交流 (kouryuu)	 (cultural) exchange, networking

交際 (kousai)	 association, friendship

構成 (kousei)	 organization, composition

高速 (kousoku)	 high speed

後者 (kousha)	 the latter

交通費 (koutsuuhi)	 traveling expenses

幸運 (kouun)	 good luck, fortune

小屋 (koya)	 hut, cabin, shed

小包 (kozutsumi)	 parcel, package

配る (kubaru)	 to distribute, to hand out

区別 (kubetsu)	 distinction, differentiation

工夫 (kufuu)	 solving ingeniously​

組 (kumi)	 set, group

組合 (kumiai)	 association, union

組み立てる (kumitateru)	 to assemble, to set up

曇 (kumori)	 cloudiness, cloudy weather

曇る (kumoru)	 to get cloudy

組む (kumu)	 to link, to put together

訓練 (kunren)	 practice, training

位 (kurai)	 rank, class, grade

暮らし (kurashi)	 life, living

暮らす (kurasu)	 to live

暮れ (kure)	 sunset, sundown

繰り返す (kurikaesu)	 to repeat

苦労 (kurou)	 troubles, hardships


Advertisement

苦しい (kurushii)	 painful, difficult

苦しむ (kurushimu)	 to suffer

狂う (kuruu)	 to go mad

臭い (kusai)	 stinking, smelly

鎖 (kusari)	 chain

腐る (kusaru)	 to rot, to go bad

癖 (kuse)	 habit

きつい (kutsui)	 intense, severe, hard

苦痛 (kutsuu)	 pain, agony

加える (kuwaeru)	 to add, to sum up

詳しい (kuwashii)	 detailed

加わる (kuwawaru)	 to be added to

句 (ku)	 sentence, passage

食う (kuu)	 to eat

悔しい (kuyashii)	 annoying, frustrating

巨大 (kyodai)	 huge, gigantic

許可 (kyoka)	 permission, approval

局 (kyoku)	 bureau, department

距離 (kyori)	 distance, range​

強調 (kyouchou)	 emphasis, highlight

共同 (kyoudou)	 doing together, joint

恐怖 (kyoufu)	 fear, dread, dismay

競技 (kyougi)	 game, match

競合 (kyougou)	 competition, rivalry

教授 (kyouju)	 professor

教科書 (kyoukasho)	 textbook

供給 (kyoukyuu)	 supply, provision

協力 (kyouryoku)	 cooperation

強力 (kyouryoku)	 powerful, strong

教師 (kyoushi)	 teacher (classroom)

共通 (kyoutsuu)	 commonness, community

共通点 (kyoutsuuten)	 point in common, common feature​

級 (kyuu)	 class (school, grade, rank

急に (kyuu ni)	 swiftly, rapidly

急激 (kyuugeki)	 sudden, radical

休日 (kyuujitsu)	 holiday, day off​

救助 (kyuujo)	 relief, aid

休暇 (kyuuka)	 holiday, day off

休憩 (kyuukei)	 rest, break, recess

給料 (kyuuryou)	 salary, wages

吸収 (kyuushuu)	 absorption

急速 (kyuusoku)	 rapid (progress)

眩しい (mabushii)	 dazzling, radiant​

間違い (machigai)	 mistake, error, blunder

間違う (machigau)	 to make a mistake

窓口 (madoguchi)	 ticket window, counter

孫 (mago)	 grandchild

迷子 (maigo)	 lost child, lost person

任せる (makaseru)	 to entrust, to leave to

負け (make)	 defeat, loss

幕 (maku)	 curtain

豆 (mame)	 beans

守る (mamoru)	 to protect, to guard

学ぶ (manabu)	 to study, to learn

真似 (mane)	 imitating, copying

招く (maneku)	 to invite, to ask

万一 (man’ichi)	 by some chance

満点 (manten)	 perfect score, full marks​

満足 (manzoku)	 satisfaction, contentment

丸 (maru)	 circle

真逆 (masaka)	 by no means, never

正に (masa ni)	 exactly, surely

増す (masu)	 to increase, to grow

回り (mawari)	 rotation

回す (mawasu)	 to turn, to rotate

迷う (mayou)	 to lose one’s way

先ず (mazu)	 first of all, to start with

混ぜる (mazeru)	 to mix, to stir

貧しい (mazushii)	 poor

命じる (meijiru)	 to order, to command

明確 (meikaku)	 clear, precise

命令 (meirei)	 order, command

迷惑 (meiwaku)	 trouble, bother, annoyance

面 (men)	 face, mask

綿 (men)	 cotton

面倒 (mendou)	 trouble, care

免許 (menkyo)	 license, permit

免許証 (menkyoshou)	 license, permit

面接 (mensetsu)	 interview (e.g. for a job)​

飯 (meshi)	 cooked rice, meal

目覚まし時計 (mezamashidokei)	 alarm clock​

身 (mi)	 body, oneself

実 (mi)	 fruit, nut

身につける (mi ni tsukeru)	 to learn; to acquire knowledge​

満ちる (michiru)	 to be full

身近 (midjika)	 near oneself, close to one

見事 (migoto)	 splendid, magnificent

味方 (mikata)	 friend, ally

見舞い (mimai)	 visiting ill or distressed people

未満 (miman)	 less than, insufficient​

見送り (miokuri)	 seeing one off

見送る (miokuru)	 to see someone off

未来 (mirai)	 the future

魅力 (miryoku)	 charm, fascination

認める (mitomeru)	 to accept, to admit

見つめる (mitsumeru)	 to stare at, to gaze at

土産 (miyage)	 present, souvenir

都 (miyako)	 capital, metropolis

持上げる (mochiageru)	 to elevate, to raise

持ち運び (mochihakobi)	 carrying

用いる (mochiiru)	 to use, to make use of

持ち物 (mochimono)	 personal effects, one’s belongings​

戻す (modosu)	 to put back, to give back

燃える (moeru)	 to burn, to get fired up

文字 (moji)	 letter (of alphabet)

目標 (mokuhyou)	 objective, target

目的 (mokuteki)	 goal, purpose, aim

文句 (monku)	 complaint, grumbling

者 (mono)	 person

物語 (monogatari)	 tale, story

物事 (monogoto)	 things, everything

物音 (monooto)	 sounds

盛り (mori)	 serving, helping

元 (moto)	 origin, source, base

求める (motomeru)	 to want, to wish for

最も (mottomo)	 most, extremely

毛布 (moufu)	 blanket

申し込み (moushikomi)	 application, entry

申込書 (moushikomisho)	 application form

申し込む (moushikomu)	 to apply for

申し訳 (moushiwake)	 apology, excuse

模様 (moyou)	 pattern, design

夢中 (muchuu)	 daze, ecstasy

無駄 (muda)	 futility, uselessness

迎え (mukae)	 meeting, greeting

向かい (mukai)	 facing, opposite

向ける (mukeru)	 to turn toward, to point

向く (muku)	 to face, to turn toward

剥く (muku)	 to peel, to skin

胸 (mune)	 chest, breast

無料 (muryou)	 free, no charge

無視 (mushi)	 disregarding, ignoring

虫歯 (mushiba)	 cavity, tooth decay

結ぶ (musubu)	 to tie, to bind

妙 (myou)	 strange, unusual

名 (na)	 name, given name

鍋 (nabe)	 saucepan, pot

撫でる (naderu)	 to stroke, to caress

長生き (nagaiki)	 longevity, long life​

眺め (nagame)	 view, scene, prospect

眺める (nagameru)	 to view, to gaze at

流れ (nagare)	 stream, current, flow

流れる (nagareru)	 to stream, to flow

流す (nagasu)	 to drain, to shed

慰める (nagusameru)	 to comfort, to console

内緒 (naisho)	 secrecy, confidentiality

内容 (naiyou)	 contents, matter

仲 (naka)	 relation, relationship

半ば (nakaba)	 middle, half

仲間 (nakama)	 fellow, companion

中身 (nakami)	 contents, interior

仲直り (nakanaori)	 reconciliation, make peace with​

生 (nama)	 raw, uncooked

怠ける (namakeru)	 to be idle

波 (nami)	 wave

涙 (namida)	 tears

直 (nao)	 straight, ordinary, common

情けない (nasakenai)	 miserable, pitiable

納得 (nattoku)	 consent, assent

懐かしい (natsukashii)	 missed, nostalgic​

縄 (nawa)	 rope, cord

悩む (nayamu)	 to be worried

謎 (nazo)	 riddle, puzzle, mystery

根 (ne)	 root, source, origin

熱中 (necchuu)	 going nuts (over something)

値段 (nedan)	 price, cost

願い (negai)	 desire, wish

願う (negau)	 to desire, to wish

年代 (nendai)	 age, era, period

年中 (nenjuu)	 whole year, all year round

年間 (nenkan)	 years (period of)

年齢 (nenrei)	 age, years

熱帯 (nettai)	 tropics

鼠 (nezumi)	 mouse, rat

似合う (niau)	 to suit, to match

日常 (nichijou)	 ordinary, everyday

日中 (nicchuu)	 daytime, during the day

日時 (nichiji)	 date and time​

日夜 (nichiya)	 day and night, always, constantly

苦手 (nigate)	 poor at, weak in

握る (nigiru)	 to grip, to grasp

日本 (nihon)	 Japan

日光 (nikkou)	 sunlight

にっこり (nikkori)	 smile, grin

人間 (ningen)	 human being, person

人気 (ninki)	 popularity

人数 (ninzuu)	 the number of people​

日程 (nittei)	 schedule, program

野 (no)	 plain, field

伸ばす (nobasu)	 to grow long

述べる (noberu)	 to state, to express

伸びる (nobiru)	 to stretch, to extend

軒 (noki)	 eaves

残り (nokori)	 remnant, residue

残す (nokosu)	 to leave (behind)

のんびり (nonbiri)	 carefree, at leisure

乗せる (noseru)	 to place on

能 (nou)	 talent, gift, function

農業 (nougyou)	 agriculture

農家 (nouka)	 farmer, farm family

農民 (noumin)	 farmers, peasants

能力 (nouryoku)	 ability

除く (nozoku)	 to exclude, to except

望み (nozomi)	 hope, desire, wish

望む (nozomu)	 to desire, to wish for

抜ける (nukeru)	 to come out, to fall out

抜く (nuku)	 to extract, to omit

布 (nuno)	 cloth

入学 (nyuugaku)	 matriculation

入院 (nyuuin)	 hospitalization

入場 (nyuujou)	 entrance, admission

入力 (nyuuryoku)	 input, (data) entry​

入社 (nyuusha)	 joining a company

溺れる (oboreru)	 to drown

帯 (obi)	 obi, kimono sash

落ち着く (ochitsuku)	 to calm down, to compose oneself

穏やか (odayaka)	 calm, gentle, quiet

終える (oeru)	 to finish

老い (oi)	 old age, old person

お辞儀 (ojigi)	 bow, bowing

丘 (oka)	 hill, height

沖 (oki)	 open sea

起こる (okoru)	 to occur, to happen

奥 (oku)	 inner part

贈る (okuru)	 to give (as a gift)

主に (omo ni)	 mainly, primarily

思い出 (omoide)	 memories

思わず (omowazu)	 unintentionally

おむつ	 diaper, nappy

恩 (on)	 favor, debt of gratitude

温暖 (ondan)	 warm, mild

温度 (ondo)	 temperature

鬼 (oni)	 demon

温泉 (onsen)	 hot spring​

追い付く (oitsuku)	 to catch up with

大雨 (ooame)	 heavy rain​

大型 (oogata)	 large, larged-size

大いに (ooi ni)	 very, much, greatly

覆う (oou)	 to cover, to conceal

大家 (ooya)	 landlord, landlady

大雪 (ooyuki)	 heavy snow​

下す (orosu)	 to lower, to drop

降ろす (orosu)	 to take down, to unload

収める (osameru)	 to dedicate, to supply

幼い (osanai)	 very young, childish

抑える (osaeru)	 to restrain, to control

汚染 (osen)	 pollution, contamination

お喋り (oshaberi)	 chattering, talk

おしまい	 the end, closing

おすすめ	 recommendation, suggestion

劣る (otoru)	 to be inferior to

恐らく (osoraku)	 perhaps, likely

恐れる (osoreru)	 to fear, to be afraid of

恐ろしい (osoroshii)	 terrible, dreadful

お互い (otagai)	 mutual

おとなしい	 obedient, docile, quiet​

追う (ou)	 to chase, to run after

応募 (oubo)	 application, enlistment

応援 (ouen)	 aid, assistance, help

往復 (oufuku)	 making a round trip

王/王様 (ou/ousama)	 king, ruler

横断 (oudan)	 crossing, traverse

王子 (ouji)	 prince

応じる (oujiru)	 to respond, to comply

応用 (ouyou)	 putting to practical use​

終 (owari)	 the end

及ぼす (oyobosu)	 to exert, to cause

泳ぎ (oyogi)	 swimming

凡そ (oyoso)	 about, roughly

ぺらぺら	 fluently

ぴったり (pittari)	 exactly, tightly

楽 (raku)	 comfort, ease

例 (rei)	 example, case

礼儀 (reigi)	 manners, courtesy

冷静 (reisei)	 calm, composure

連絡先 (renrakusaki)	 contact address​

練習 (renshuu)	 practice, practicing

連想 (rensou)	 association of ideas

連続 (renzoku)	 serial, consecutive

列車 (ressha)	 train (ordinary)

列 (retsu)	 queue, line

利益 (rieki)	 profit, gains

理解 (rikai)	 understanding, comprehension

離婚 (rikon)	 divorce

利口 (rikou)	 clever, intelligent

立派 (rippa)	 splendid, fine

理想 (risou)	 ideal

率 (ritsu)	 rate, ratio

利用者 (riyousha)	 user, consumer​

論文 (ronbun)	 thesis, essay

論じる (ronjiru)	 to argue, to debate

論争 (ronsou)	 controversy, dispute

労働 (roudou)	 manual labor, work

老人 (roujin)	 the aged, old person

量 (ryou)	 quantity, amount

両替 (ryougae)	 change, money exchange

料金 (ryoukin)	 fee, charge, fare

領収書 (ryoushuusho)	 hand-written receipt​

留学 (ryuugaku)	 studying abroad

流行 (ryuukou)	 fashion, vogue

差 (sa)	 difference, variation

砂漠 (sabaku)	 desert

差別 (sabetsu)	 discrimination

作業 (sagyou)	 work, operation

作法 (sahou)	 manners, etiquette

裁判 (saiban)	 trial, judgement

最上 (saijou)	 best

参加者 (sankasha)	 participant, entrant​

最高 (saikou)	 highest, supreme

才能 (sainou)	 talent, ability

最終 (saishuu)	 last, final

最低 (saitei)	 least, lowest, worst

幸い (saiwai)	 happiness, luckily

境 (sakai)	 border, boundery

逆らう (sakarau)	 to go against, to oppose

盛り (sakari)	 peak, height

叫ぶ (sakebu)	 to shout, to cry

避ける (sakeru)	 to avoid, to ward off

作家 (sakka)	 author, writer

作曲 (sakkyoku)	 composition

作品 (sakuhin)	 work, production

作物 (sakumotsu)	 produce, crops

桜 (sakura)	 cherry blossom

覚ます (samasu)	 to awaken

覚める (sameru)	 to wake up

様々 (samazama)	 varied, various

参加 (sanka)	 participation

参考 (sankou)	 reference, consultation

賛成 (sansei)	 approval, agreement

酸素 (sanso)	 oxygen

さっぱり (sappari)	 feeling refreshed

更に (sara ni)	 furthermore, again

去る (saru)	 to leave, to go away

猿 (saru)	 monkey

支える (sasaeru)	 to support, to prop

誘う (sasou)	 to invite, to call for

指す (sasu)	 to point, to indicate

さっそく	 at once, immediately

偖 (sate)	 well, now, then

札 (satsu)	 note, paper money

騒ぎ (sawagi)	 uproar, disturbance

左右 (sayuu)	 left and right, control

正 (sei)	 true, regular

性 (sei)	 gender

所為 (sei)	 consequence, result, blame

製 (sei)	 -made, make​

性別 (seibetsu)	 gender

生物 (seibutsu)	 living things

成長 (seichou)	 growth, grow to adulthood

制度 (seido)	 system, institution

政府 (seifu)	 government, administration

制服 (seifuku)	 uniform

制限 (seigen)	 restriction, restraint

製品 (seihin)	 manufactured goods

政治家 (seijika)	 politician, statesman​

成人 (seijin)	 adult

正常 (seijou)	 normalcy, normality

正解 (seikai)	 correct, right

性格 (seikaku)	 character, personality

正確 (seikaku)	 accurate, punctual

清潔 (seiketsu)	 clean, sanitary

世紀 (seiki)	 century, era

成功 (seikou)	 success, hit

請求 (seikyuu)	 claim, demand, charge

生命 (seimei)	 life, existence

青年 (seinen)	 youth, young man

整理 (seiri)	 sorting, arrangement

生産 (seisan)	 production, manufacture

成績 (seiseki)	 results, grade

正式 (seishiki)	 official, formality

精神 (seishin)	 spirit, heart, mind

精々 (seizei)	 at the most, at best

製造 (seizou)	 manufacture, production

世間 (seken)	 world, society

咳 (seki)	 cough

責任 (sekinin)	 duty, responsibility

石炭 (sekitan)	 coal

石油 (sekiyu)	 oil, petroleum

せっかく	 with trouble, at great pains

設計 (sekkei)	 plan, design, layout

積極的 (sekkyokuteki)	 assertive, positive

責める (semeru)	 to blame, to condemn

宣伝 (senden)	 publicity, advertisement

先日 (senjitsu)	 the other day

専攻 (senkou)	 major subject

専門 (senmon)	 specialty, area of expertise​

専門家 (senmonka)	 specialist, expert

選手 (senshu)	 player, team member

選択 (sentaku)	 selection, choice

説 (setsu)	 theory

設備 (setsubi)	 equipment, device

説明会 (setsumeikai)	 information session, briefing

節約 (setsuyaku)	 economizing, saving

喋る (shaberu)	 to talk, to chat

車道 (shadou)	 roadway

社員 (shain)	 company employee​

借金 (shakkin)	 debt, loan, liabilities

詩 (shi)	 poem

幸せ (shiawase)	 happiness, good fortune

芝居 (shibai)	 play, drama

芝生 (shibafu)	 lawn

縛る (shibaru)	 to tie, to bind, to fasten​

屡々 (shibashiba)	 often, again and again

死亡 (shibou)	 death, mortality

次第に (shidai ni)	 gradually, in sequence

指導 (shidou)	 leadership, guidance

指導者 (shidousha)	 leader, guide

刺激 (shigeki)	 stimulus, impetus

資源 (shigen)	 resources

支配 (shihai)	 domination, rule

支払い (shiharai)	 payment

支払う (shiharau)	 to pay

始発 (shihatsu)	 first train, first bus

資本 (shihon)	 funds, capital

詩人 (shijin)	 poet

然も (shika mo)	 moreover, furthermore

式 (shiki)	 equation, ceremony, style

頻りに (shikiri ni)	 frequently, repeatedly

湿気 (shikke)	 moisture, humidity, dampness​

支給 (shikyuu)	 provision, supply

姉妹 (shimai)	 sisters

仕舞う (shimau)	 to finish, to stop

締め切り (shimekiri)	 deadline, closing

占める (shimeru)	 to occupy, to hold

締める (shimeru)	 to tie, to fasten, to tighten

示す (shimesu)	 to show, to indicate

霜 (shimo)	 frost

品 (shina)	 article, item, goods

身長 (shinchou)	 height (of body), stature

慎重 (shinchou)	 careful, cautious, prudent

進学 (shingaku)	 entering a higher-level school

信号 (shingou)	 signal, traffic light

信じる (shinjiru)	 to believe, to trust

新幹線 (shinkansen)	 Shinkansen, bullet train​

神経 (shinkei)	 nerve, sensitivity

真剣 (shinken)	 seriousness, earnestness

深刻 (shinkoku)	 serious, severe

信仰 (shinkou)	 faith, belief

信念 (shinnen)	 belief, faith, conviction

新入生 (shinnyuusei)	 new student, freshman

審判 (shinpan)	 refereeing, trial

進歩 (shinpo)	 progress, advance

信頼 (shinrai)	 reliance, trust

心理 (shinri)	 state of mind, mentality

森林 (shinrin)	 forest, woods​

診察 (shinsatsu)	 medical examination

親戚 (shinseki)	 relative, relation

新鮮 (shinsen)	 fresh

信用 (shin’you)	 confidence, credit

親友 (shin’yuu)	 close friend

心臓 (shinzou)	 heart, guts, nerve

調べ物 (shirabemono)	 matter to be checked or investigated​

知らせ (shirase)	 news, notice

尻 (shiri)	 buttocks, bottom

知り合い (shiriai)	 acquaintance

知り合う (shiriau)	 to get to know (someone)

城 (shiro)	 castle

印 (shirushi)	 seal, stamp, mark

資料 (shiryou)	 materials, data, document​

姿勢 (shisei)	 posture, attitude

試食 (shishoku)	 sampling food​

支出 (shishutsu)	 expenditure

思想 (shisou)	 thought, idea

舌 (shita)	 tongue

従う (shitagau)	 to abide (by the rules)

親しい (shitashii)	 intimate, close

指定 (shitei)	 assignment, appointment

支店 (shiten)	 branch office

質 (shitsu)	 quality, value

失望 (shitsubou)	 disappointment, despair

湿度 (shitsudo)	 level of humidity​

失業 (shitsugyou)	 unemployment

しつこい	 obstinate, persistent

室内 (shitsunai)	 indoor, inside the room​

市役所 (shiyakusho)	 municipal office, city hall​

使用 (shiyou)	 use, application

自然 (shizen)	 nature, natural

沈む (shizumu)	 to sink, to go under

食器 (shokki)	 tableware

職 (shoku)	 job, work, employment

職場 (shokuba)	 place of work, workplace

植物 (shokubutsu)	 plant, vegetation

職業 (shokugyou)	 occupation, business

食品 (shokuhin)	 food, foodstuff

食物 (shokumotsu)	 food, foodstuff

食卓 (shokutaku)	 dining table

食欲 (shokuyoku)	 appetite (for food)

食料 (shokuryou)	 food

食糧 (shokuryou)	 provisions, food supply

署名 (shomei)	 signature

書物 (shomotsu)	 books

処理 (shori)	 processing, dealing with

書類 (shorui)	 documents, official papers

書斎 (shosai)	 study, library

章 (shou)	 chapter, section

賞 (shou)	 prize, award

商売 (shoubai)	 trade, business

消防 (shoubou)	 fire fighting

承知 (shouchi)	 knowledge, awareness

障害 (shougai)	 obstacle, impediment

奨学金 (shougakukin)	 scholarship

小学生 (shougakusei)	 primary school student

正午 (shougo)	 noon, midday

消費 (shouhi)	 consumption, expenditure

商品 (shouhin)	 commodity, goods

正直 (shoujiki)	 honesty, integrity

生じる (shoujiru)	 to produce, to yield

少女 (shoujo)	 little girl, young lady

症状 (shoujou)	 symptoms, condition

証明 (shoumei)	 proof, verification

少年 (shounen)	 boy, juvenile

商人 (shounin)	 trader, merchant

承認 (shounin)	 recognition, acknowledgement

小説家 (shousetsuka)	 novelist, fiction writer​

少々 (shoushou)	 just a minute

衝突 (shoutotsu)	 collision, crash

出張 (shucchou)	 official tour, business trip

主張 (shuchou)	 claim, insistence

手段 (shudan)	 means, way, measure

主婦 (shufu)	 housewife, mistress

主義 (shugi)	 principle, rule, doctrine

手術 (shujutsu)	 surgical operation

瞬間 (shunkan)	 moment, instant, second

出勤 (shukkin)	 going to work, leaving for work

縮小 (shukushou)	 reduction, curtailment​

種類 (shurui)	 variety, kind, type

首相 (shushou)	 Prime Minister

首都 (shuto)	 capital city

宿泊 (shukuhaku)	 lodging

出版 (shuppan)	 publication

主要 (shuyou)	 chief, main, principle

出身 (shusshin)	 person’s origin

集中 (shuuchuu)	 concentration

集団 (shuudan)	 group, mass

集合 (shuugou)	 gathering, assembly, meeting​

周囲 (shuui)	 surroundings, environs

収穫 (shuukaku)	 harvest, crop

週間 (shuukan)	 week

週刊 (shuukan)	 weekly publication​

宗教 (shuukyou)	 religion

週末 (shuumatsu)	 weekend

収入 (shuunyuu)	 income, revenue

修理 (shuuri)	 repairing, mending

終了 (shuuryou)	 end, close, termination​

修正 (shuusei)	 amendment, correction

就職 (shuushoku)	 finding employment

終点 (shuuten)	 terminus, last stop (e.g. train)​

育つ (sodatsu)	 to be raised

袖 (sode)	 sleeve

祖父母 (sofubo)	 grandparents

底 (soko)	 bottom, sole

速度 (sokudo)	 speed, velocity

そっくり (sokkuri)	 all, together, just like

粗末 (somatsu)	 rude, rough, plain

損 (son)	 loss, disadvantage

備える (sonaeru)	 to furnish, to provide for

尊重 (sonchou)	 respect, esteem

損害 (songai)	 damage, injury, loss

尊敬 (sonkei)	 respect, esteem

存在 (sonzai)	 existence, being

夫々 (sorezore)	 each, respectively​

注ぐ (sosogu)	 to pour into, to fill

組織 (soshiki)	 organization

装置 (souchi)	 equipment, installation

早朝 (souchou)	 early morning

掃除機 (soujiki)	 vacuum cleaner​

騒音 (souon)	 noise

操作 (sousa)	 operation, management

早退 (soutai)	 leaving early​

相当 (soutou)	 considerable, suitable

相続 (souzoku)	 succession, inheritance

想像 (souzou)	 imagination, guess

そっと	 secretly, gently

巣 (su)	 nest, hive

全て (subete)	 everything, all

末 (sue)	 tip, top, end, close

姿 (sugata)	 figure, form, shape

筋 (suji)	 muscle

過ごす (sugosu)	 to pass (time)

優れる (sugureru)	 to surpass, to excel

水準 (suijun)	 level, standard

睡眠 (suimin)	 sleep

推薦 (suisen)	 recommendation, referral

救う (sukuu)	 to rescue from

済ませる (sumaseru)	 to finish

鋭い (surudoi)	 sharp, pointed

進める (susumeru)	 to advance, to promote

勧める (susumeru)	 to recommend

素敵 (suteki)	 lovely, beautiful

数字 (suuji)	 numeral, figure, digit

束 (taba)	 bundle, bunch

旅 (tabi)	 travel, trip, journey

度々 (tabitabi)	 often, again and again

多分 (tabun)	 perhaps, probably

立場 (tachiba)	 standpoint, position

立上る (tachiagaru)	 to stand up

唯 (tada)	 ordinary, free of charge

直ちに (tadachi ni)	 at once, immediately

互い (tagai)	 mutual, reciprocal

態度 (taido)	 attitude, manner

大半 (taihan)	 majority, more than half

逮捕 (taiho)	 arrest, apprehension

体育 (taiiku)	 physical education

体育館 (taiikukan)	 gymnasium

体重 (taijuu)	 (body) weight​

大会 (taikai)	 convention, tournament

大気 (taiki)	 atmosphere

退屈 (taikutsu)	 tedium, boredom

体温 (taion)	 body temperature

平ら (taira)	 flatness, level

大陸 (tairiku)	 continent

体力 (tairyoku)	 physical strength, stamina

大量 (tairyou)	 large quantity, mass

大戦 (taisen)	 great war, great battle

大使 (taishi)	 ambassador

大した (taishita)	 considerable, great

対象 (taishou)	 target, object

体操 (taisou)	 gymnastics, physical exercises

対する (tai suru)	 to face (each other)

大抵 (taitei)	 mostly, usually

太陽 (taiyou)	 sun, solar

滞在 (taizai)	 staying, sojourn

宝 (takara)	 treasure

弾 (tama)	 ball, sphere, globe, bullet

貯まる (tamaru)	 to be saved up (of money)​

偶々 (tamatama)	 casually, unexpectedly

貯める (tameru)	 to save up (money)

試し (tameshi)	 trial, test

試す (tamesu)	 to try out, to test

種 (tane)	 seed, kind, variety

単語 (tango)	 word, vocabulary

谷 (tani)	 valley

単位 (tan’i)	 unit, denomination

短気 (tanki)	 quick temper, short temper​

他人 (ta’nin)	 another person, others

単なる (tannaru)	 mere, simple, sheer

単に (tan ni)	 simply, merely

誕生 (tanjou)	 birth, creation

単純 (tanjun)	 simplicity, simple

楽しむ (tanoshimu)	 to enjoy (oneself)​

担当 (tantou)	 being in charge

倒す (taosu)	 to bring down

確かめる (tashikameru)	 to ascertain, to check

多少 (tashou)	 more or less, somewhat

達する (tassuru)	 to reach, to get to

助ける (tasukeru)	 to save, to rescue

戦い (tatakai)	 battle, fight

戦う (tatakau)	 to fight, to struggle

叩く (tataku)	 to strike, to beat

縦 (tate)	 the vertical, height

立て直す (tatenaosu)	 to restore, to revive

経つ (tatsu)	 to pass, to lapse

便り (tayori)	 news, tidings

頼る (tayoru)	 to rely on

提案 (teian)	 proposal, suggestion

停電 (teiden)	 power outage, blackout

程度 (teido)	 degree, amount

